[12/04/25, 11:57:31 AM] v anand salesman: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[12/04/25, 11:57:31 AM] v anand salesman: ‎‎‎v anand salesman uses a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎90 days after they're sent, except when kept. ‎Tap to set your own default timer.
‎[28/03/26, 4:00:05 PM] Bothra Sarees: ‎<attached: 00002157-PHOTO-2026-03-28-16-00-05.jpg>
‎[28/03/26, 4:00:58 PM] Bothra Sarees: ‎<attached: 00002158-PHOTO-2026-03-28-16-00-58.jpg>
‎[28/03/26, 4:01:16 PM] Bothra Sarees: 590 ‎<attached: 00002159-PHOTO-2026-03-28-16-01-16.jpg>
‎[28/03/26, 4:07:18 PM] Bothra Sarees: ‎<attached: 00002160-PHOTO-2026-03-28-16-07-18.jpg>
[28/03/26, 4:31:39 PM] v anand salesman: Ye
[28/03/26, 4:31:46 PM] v anand salesman: Ye
[28/03/26, 4:31:51 PM] v anand salesman: Mila kar
[28/03/26, 4:37:02 PM] Bothra Sarees: khtm hogya h ye
[28/03/26, 5:05:01 PM] v anand salesman: Is type me kuch
‎[28/03/26, 5:31:19 PM] Bothra Sarees: ‎<attached: 00002166-PHOTO-2026-03-28-17-31-19.jpg>
‎[28/03/26, 5:31:41 PM] Bothra Sarees: 720 ‎<attached: 00002167-PHOTO-2026-03-28-17-31-41.jpg>
‎[28/03/26, 5:32:11 PM] Bothra Sarees: ‎<attached: 00002168-PHOTO-2026-03-28-17-32-11.jpg>
‎[28/03/26, 5:32:11 PM] Bothra Sarees: ‎<attached: 00002169-PHOTO-2026-03-28-17-32-11.jpg>
[28/03/26, 5:32:12 PM] Bothra Sarees: 500
[28/03/26, 5:53:32 PM] v anand salesman: 4set
[28/03/26, 5:55:31 PM] Bothra Sarees: ok
‎[28/03/26, 6:29:29 PM] Bothra Sarees: ‎<attached: 00002173-PHOTO-2026-03-28-18-29-29.jpg>
[28/03/26, 6:29:34 PM] Bothra Sarees: 570
‎[28/03/26, 6:32:13 PM] Bothra Sarees: ‎<attached: 00002175-PHOTO-2026-03-28-18-32-13.jpg>
‎[28/03/26, 6:38:43 PM] Bothra Sarees: ‎<attached: 00002176-PHOTO-2026-03-28-18-38-43.jpg>
[28/03/26, 6:40:18 PM] v anand salesman: Ye
[28/03/26, 6:40:22 PM] v anand salesman: Ye
[28/03/26, 6:40:26 PM] v anand salesman: 1parcel
[28/03/26, 6:40:29 PM] v anand salesman: Dono Mila
[28/03/26, 6:40:33 PM] v anand salesman: Kar
[28/03/26, 6:40:42 PM] Bothra Sarees: 5-6 set bhjo
[28/03/26, 6:40:54 PM] v anand salesman: B
Nai
‎[28/03/26, 8:39:13 PM] Bothra Sarees: ‎<attached: 00002184-PHOTO-2026-03-28-20-39-13.jpg>
‎[28/03/26, 8:39:39 PM] Bothra Sarees: ‎<attached: 00002185-PHOTO-2026-03-28-20-39-39.jpg>
‎[28/03/26, 8:40:10 PM] Bothra Sarees: ‎<attached: 00002186-PHOTO-2026-03-28-20-40-10.jpg>
‎[28/03/26, 8:40:29 PM] Bothra Sarees: ‎<attached: 00002187-PHOTO-2026-03-28-20-40-29.jpg>
[28/03/26, 8:40:47 PM] v anand salesman: 15pic
‎[28/03/26, 8:41:02 PM] Bothra Sarees: ‎<attached: 00002189-PHOTO-2026-03-28-20-41-02.jpg>
[28/03/26, 8:41:09 PM] v anand salesman: 10pic
‎[28/03/26, 8:41:23 PM] Bothra Sarees: ‎<attached: 00002191-PHOTO-2026-03-28-20-41-23.jpg>
[28/03/26, 8:41:24 PM] v anand salesman: 10pic
[28/03/26, 8:41:45 PM] v anand salesman: 10pic
[28/03/26, 8:41:55 PM] v anand salesman: Ho jayegi parcel
‎[28/03/26, 8:45:06 PM] Bothra Sarees: ‎<attached: 00002195-PHOTO-2026-03-28-20-45-06.jpg>
‎[28/03/26, 8:45:38 PM] Bothra Sarees: ‎<attached: 00002196-PHOTO-2026-03-28-20-45-38.jpg>
‎[28/03/26, 8:45:55 PM] Bothra Sarees: ‎<attached: 00002197-PHOTO-2026-03-28-20-45-55.jpg>
‎[28/03/26, 8:46:12 PM] Bothra Sarees: ‎<attached: 00002198-PHOTO-2026-03-28-20-46-12.jpg>
[30/03/26, 4:01:16 PM] Bothra Sarees: yeee
‎[30/03/26, 7:16:04 PM] Bothra Sarees: ‎<attached: 00002200-PHOTO-2026-03-30-19-16-04.jpg>
[30/03/26, 7:16:19 PM] Bothra Sarees: 684
‎[30/03/26, 7:19:41 PM] Bothra Sarees: ‎<attached: 00002202-PHOTO-2026-03-30-19-19-41.jpg>
[30/03/26, 7:23:04 PM] v anand salesman: 12-12set
‎[30/03/26, 7:24:34 PM] Bothra Sarees: ‎<attached: 00002204-PHOTO-2026-03-30-19-24-34.jpg>
[30/03/26, 7:24:54 PM] Bothra Sarees: 500
[30/03/26, 7:25:41 PM] Bothra Sarees: ??
[30/03/26, 7:25:54 PM] v anand salesman: 12
‎[31/03/26, 5:52:20 PM] Bothra Sarees: ‎<attached: 00002208-PHOTO-2026-03-31-17-52-20.jpg>
‎[31/03/26, 5:52:28 PM] Bothra Sarees: ‎<attached: 00002209-PHOTO-2026-03-31-17-52-28.jpg>
‎[31/03/26, 5:52:40 PM] Bothra Sarees: ‎<attached: 00002210-PHOTO-2026-03-31-17-52-40.jpg>
‎[31/03/26, 5:52:50 PM] Bothra Sarees: ‎<attached: 00002211-PHOTO-2026-03-31-17-52-50.jpg>
[31/03/26, 5:54:49 PM] v anand salesman: 10set
[31/03/26, 5:55:02 PM] v anand salesman: 12set
[31/03/26, 5:55:28 PM] v anand salesman: Rate
[31/03/26, 5:56:08 PM] Bothra Sarees: 746
[31/03/26, 5:56:18 PM] v anand salesman: 10set
[31/03/26, 5:56:25 PM] v anand salesman: Sushma hai
[31/03/26, 6:05:03 PM] Bothra Sarees: nahi sir
‎[31/03/26, 6:14:42 PM] Bothra Sarees: ‎<attached: 00002219-PHOTO-2026-03-31-18-14-42.jpg>
‎[31/03/26, 6:20:34 PM] Bothra Sarees: ‎<attached: 00002220-PHOTO-2026-03-31-18-20-34.jpg>
[31/03/26, 6:22:14 PM] v anand salesman: Nai
‎[31/03/26, 6:27:44 PM] Bothra Sarees: ‎<attached: 00002222-PHOTO-2026-03-31-18-27-44.jpg>
‎[31/03/26, 6:27:55 PM] Bothra Sarees: ‎<attached: 00002223-PHOTO-2026-03-31-18-27-55.jpg>
[31/03/26, 8:57:13 PM] Bothra Sarees: 357
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002225-PHOTO-2026-04-01-12-29-13.jpg>
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002226-PHOTO-2026-04-01-12-29-13.jpg>
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002227-PHOTO-2026-04-01-12-29-13.jpg>
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002228-PHOTO-2026-04-01-12-29-13.jpg>
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002229-PHOTO-2026-04-01-12-29-13.jpg>
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002230-PHOTO-2026-04-01-12-29-13.jpg>
‎[01/04/26, 12:29:13 PM] Bothra Sarees: ‎<attached: 00002231-PHOTO-2026-04-01-12-29-13.jpg>
[01/04/26, 12:29:13 PM] Bothra Sarees: 240
‎[01/04/26, 12:36:38 PM] Bothra Sarees: ‎<attached: 00002233-PHOTO-2026-04-01-12-36-38.jpg>
‎[01/04/26, 12:36:38 PM] Bothra Sarees: ‎<attached: 00002234-PHOTO-2026-04-01-12-36-38.jpg>
‎[01/04/26, 12:36:38 PM] Bothra Sarees: ‎<attached: 00002235-PHOTO-2026-04-01-12-36-38.jpg>
‎[01/04/26, 12:37:02 PM] Bothra Sarees: ‎<attached: 00002236-PHOTO-2026-04-01-12-37-02.jpg>
‎[01/04/26, 12:37:02 PM] Bothra Sarees: ‎<attached: 00002237-PHOTO-2026-04-01-12-37-02.jpg>
‎[01/04/26, 12:37:02 PM] Bothra Sarees: ‎<attached: 00002238-PHOTO-2026-04-01-12-37-02.jpg>
‎[01/04/26, 12:37:46 PM] Bothra Sarees: ‎<attached: 00002239-PHOTO-2026-04-01-12-37-46.jpg>
‎[01/04/26, 12:41:07 PM] Bothra Sarees: ‎<attached: 00002240-PHOTO-2026-04-01-12-41-07.jpg>
[01/04/26, 12:41:28 PM] Bothra Sarees: 452
[01/04/26, 12:41:34 PM] Bothra Sarees: 850
[01/04/26, 12:41:40 PM] Bothra Sarees: 557
[01/04/26, 12:41:48 PM] Bothra Sarees: 651
[01/04/26, 12:41:55 PM] Bothra Sarees: 558
[01/04/26, 12:42:02 PM] Bothra Sarees: 368
[01/04/26, 12:42:10 PM] Bothra Sarees: 493
[01/04/26, 12:42:17 PM] Bothra Sarees: 462
[01/04/26, 12:45:44 PM] v anand salesman: Ye
[01/04/26, 12:46:23 PM] Bothra Sarees: jaadu 
dhun 
rasili 
style
[01/04/26, 12:46:36 PM] Bothra Sarees: metro
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002252-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002253-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002254-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002255-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002256-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002257-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002258-PHOTO-2026-04-01-12-47-55.jpg>
‎[01/04/26, 12:47:55 PM] Bothra Sarees: ‎<attached: 00002259-PHOTO-2026-04-01-12-47-55.jpg>
[01/04/26, 12:48:47 PM] Bothra Sarees: tasan
‎[01/04/26, 12:57:57 PM] Bothra Sarees: ‎<attached: 00002261-PHOTO-2026-04-01-12-57-57.jpg>
‎[01/04/26, 12:57:57 PM] Bothra Sarees: ‎<attached: 00002262-PHOTO-2026-04-01-12-57-57.jpg>
‎[01/04/26, 12:57:57 PM] Bothra Sarees: ‎<attached: 00002263-PHOTO-2026-04-01-12-57-57.jpg>
[01/04/26, 12:57:57 PM] Bothra Sarees: ye kohinoor vali party ka item h
[01/04/26, 12:58:00 PM] Bothra Sarees: 430
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002266-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002267-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002268-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002269-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002270-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002271-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002272-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002273-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002274-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002275-PHOTO-2026-04-01-12-58-26.jpg>
‎[01/04/26, 12:58:26 PM] Bothra Sarees: ‎<attached: 00002276-PHOTO-2026-04-01-12-58-26.jpg>
[01/04/26, 12:58:58 PM] Bothra Sarees: 244
‎[01/04/26, 1:00:14 PM] Bothra Sarees: ‎<attached: 00002278-PHOTO-2026-04-01-13-00-14.jpg>
‎[01/04/26, 1:00:14 PM] Bothra Sarees: ‎<attached: 00002279-PHOTO-2026-04-01-13-00-14.jpg>
‎[01/04/26, 1:00:14 PM] Bothra Sarees: ‎<attached: 00002280-PHOTO-2026-04-01-13-00-14.jpg>
‎[01/04/26, 1:00:14 PM] Bothra Sarees: ‎<attached: 00002281-PHOTO-2026-04-01-13-00-14.jpg>
‎[01/04/26, 1:00:14 PM] Bothra Sarees: ‎<attached: 00002282-PHOTO-2026-04-01-13-00-14.jpg>
‎[01/04/26, 1:00:14 PM] Bothra Sarees: ‎<attached: 00002283-PHOTO-2026-04-01-13-00-14.jpg>
[01/04/26, 1:00:14 PM] Bothra Sarees: box packing
[01/04/26, 1:01:01 PM] v anand salesman: Rate
[01/04/26, 1:02:32 PM] Bothra Sarees: 224
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002287-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002288-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002289-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002290-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002291-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002292-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002293-PHOTO-2026-04-01-18-06-11.jpg>
‎[01/04/26, 6:06:11 PM] Bothra Sarees: ‎<attached: 00002294-PHOTO-2026-04-01-18-06-11.jpg>
[01/04/26, 6:06:11 PM] Bothra Sarees: 184
[01/04/26, 6:16:47 PM] Bothra Sarees: pouch packing siroski lace
[01/04/26, 6:17:11 PM] v anand salesman: Ek parcel
[01/04/26, 6:17:17 PM] Bothra Sarees: ok
‎[01/04/26, 6:18:16 PM] Bothra Sarees: ‎<attached: 00002299-PHOTO-2026-04-01-18-18-16.jpg>
‎[02/04/26, 5:15:33 PM] Bothra Sarees: 331 ‎<attached: 00002300-PHOTO-2026-04-02-17-15-33.jpg>
‎[02/04/26, 5:15:53 PM] Bothra Sarees: ‎<attached: 00002301-PHOTO-2026-04-02-17-15-53.jpg>
[02/04/26, 5:15:55 PM] Bothra Sarees: 363
‎[02/04/26, 5:17:04 PM] Bothra Sarees: 226 ‎<attached: 00002303-PHOTO-2026-04-02-17-17-04.jpg>
‎[02/04/26, 5:18:06 PM] Bothra Sarees: ‎<attached: 00002304-PHOTO-2026-04-02-17-18-06.jpg>
‎[02/04/26, 5:18:24 PM] Bothra Sarees: ‎<attached: 00002305-PHOTO-2026-04-02-17-18-24.jpg>
‎[02/04/26, 5:18:33 PM] Bothra Sarees: ‎<attached: 00002306-PHOTO-2026-04-02-17-18-33.jpg>
‎[02/04/26, 5:18:46 PM] Bothra Sarees: ‎<attached: 00002307-PHOTO-2026-04-02-17-18-46.jpg>
‎[02/04/26, 5:18:55 PM] Bothra Sarees: ‎<attached: 00002308-PHOTO-2026-04-02-17-18-55.jpg>
‎[02/04/26, 5:19:10 PM] Bothra Sarees: ‎<attached: 00002309-PHOTO-2026-04-02-17-19-10.jpg>
‎[02/04/26, 5:19:18 PM] Bothra Sarees: ‎<attached: 00002310-PHOTO-2026-04-02-17-19-18.jpg>
[02/04/26, 5:23:54 PM] Bothra Sarees: ....
‎[02/04/26, 5:23:59 PM] Bothra Sarees: ‎<attached: 00002312-PHOTO-2026-04-02-17-23-59.jpg>
‎[02/04/26, 5:24:05 PM] Bothra Sarees: ‎<attached: 00002313-PHOTO-2026-04-02-17-24-05.jpg>
‎[02/04/26, 5:24:16 PM] Bothra Sarees: ‎<attached: 00002314-PHOTO-2026-04-02-17-24-16.jpg>
‎[02/04/26, 5:24:24 PM] Bothra Sarees: ‎<attached: 00002315-PHOTO-2026-04-02-17-24-24.jpg>
‎[02/04/26, 5:24:28 PM] Bothra Sarees: ‎<attached: 00002316-PHOTO-2026-04-02-17-24-28.jpg>
‎[02/04/26, 5:29:16 PM] Bothra Sarees: ‎<attached: 00002317-PHOTO-2026-04-02-17-29-16.jpg>
‎[02/04/26, 5:29:26 PM] Bothra Sarees: ‎<attached: 00002318-PHOTO-2026-04-02-17-29-26.jpg>
‎[02/04/26, 5:29:38 PM] Bothra Sarees: ‎<attached: 00002319-PHOTO-2026-04-02-17-29-38.jpg>
‎[02/04/26, 5:30:29 PM] Bothra Sarees: ‎<attached: 00002320-PHOTO-2026-04-02-17-30-29.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002321-PHOTO-2026-04-02-17-34-19.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002322-PHOTO-2026-04-02-17-34-19.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002323-PHOTO-2026-04-02-17-34-19.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002324-PHOTO-2026-04-02-17-34-19.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002325-PHOTO-2026-04-02-17-34-19.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002326-PHOTO-2026-04-02-17-34-19.jpg>
‎[02/04/26, 5:34:19 PM] Bothra Sarees: ‎<attached: 00002327-PHOTO-2026-04-02-17-34-19.jpg>
[02/04/26, 5:34:47 PM] Bothra Sarees: 417 pouch pavking
[02/04/26, 5:43:45 PM] Bothra Sarees: .........
‎[02/04/26, 5:44:00 PM] Bothra Sarees: 273 ‎<attached: 00002330-PHOTO-2026-04-02-17-44-00.jpg>
‎[02/04/26, 5:44:14 PM] Bothra Sarees: ‎<attached: 00002331-PHOTO-2026-04-02-17-44-14.jpg>
‎[02/04/26, 5:48:05 PM] Bothra Sarees: ‎<attached: 00002332-AUDIO-2026-04-02-17-48-05.opus>
‎[02/04/26, 5:57:12 PM] Bothra Sarees: ‎<attached: 00002333-PHOTO-2026-04-02-17-57-12.jpg>
‎[02/04/26, 5:57:12 PM] Bothra Sarees: ‎<attached: 00002334-PHOTO-2026-04-02-17-57-12.jpg>
‎[02/04/26, 9:10:25 PM] Bothra Sarees: ‎<attached: 00002335-PHOTO-2026-04-02-21-10-25.jpg>
‎[02/04/26, 9:10:25 PM] Bothra Sarees: ‎<attached: 00002336-PHOTO-2026-04-02-21-10-25.jpg>
‎[02/04/26, 9:10:25 PM] Bothra Sarees: ‎<attached: 00002337-PHOTO-2026-04-02-21-10-25.jpg>
‎[02/04/26, 9:10:25 PM] Bothra Sarees: ‎<attached: 00002338-PHOTO-2026-04-02-21-10-25.jpg>
‎[02/04/26, 9:10:25 PM] Bothra Sarees: ‎<attached: 00002339-PHOTO-2026-04-02-21-10-25.jpg>
‎[02/04/26, 9:10:25 PM] Bothra Sarees: ‎<attached: 00002340-PHOTO-2026-04-02-21-10-25.jpg>
[02/04/26, 9:11:35 PM] Bothra Sarees: 395
‎[03/04/26, 4:58:34 PM] Bothra Sarees: ‎<attached: 00002342-PHOTO-2026-04-03-16-58-34.jpg>
[03/04/26, 4:58:52 PM] Bothra Sarees: 555
‎[04/04/26, 12:47:09 PM] Bothra Sarees: ‎<attached: 00002344-PHOTO-2026-04-04-12-47-09.jpg>
‎[04/04/26, 12:48:42 PM] v anand salesman: ‎<attached: 00002345-PHOTO-2026-04-04-12-48-43.jpg>
‎[04/04/26, 1:12:03 PM] Bothra Sarees: ‎<attached: 00002346-PHOTO-2026-04-04-13-12-03.jpg>
‎[04/04/26, 1:12:03 PM] Bothra Sarees: ‎<attached: 00002347-PHOTO-2026-04-04-13-12-03.jpg>
‎[04/04/26, 1:12:03 PM] Bothra Sarees: ‎<attached: 00002348-PHOTO-2026-04-04-13-12-03.jpg>
‎[04/04/26, 1:12:03 PM] Bothra Sarees: ‎<attached: 00002349-PHOTO-2026-04-04-13-12-03.jpg>
‎[04/04/26, 1:12:03 PM] Bothra Sarees: ‎<attached: 00002350-PHOTO-2026-04-04-13-12-03.jpg>
‎[04/04/26, 1:12:03 PM] Bothra Sarees: ‎<attached: 00002351-PHOTO-2026-04-04-13-12-03.jpg>
[04/04/26, 1:12:46 PM] v anand salesman: Rate
[04/04/26, 1:17:57 PM] Bothra Sarees: 258
‎[06/04/26, 11:33:10 AM] v anand salesman: ‎<attached: 00002354-PHOTO-2026-04-06-11-33-11.jpg>
[06/04/26, 11:51:22 AM] Bothra Sarees: mil kaygi
[06/04/26, 11:51:49 AM] v anand salesman: Ek parcel nikal do
[06/04/26, 11:51:53 AM] v anand salesman: Aaj nikal dena
‎[06/04/26, 4:42:12 PM] Bothra Sarees: ‎<attached: 00002358-PHOTO-2026-04-06-16-42-12.jpg>
‎[06/04/26, 4:42:21 PM] Bothra Sarees: ‎<attached: 00002359-PHOTO-2026-04-06-16-42-21.jpg>
‎[06/04/26, 4:42:26 PM] Bothra Sarees: ‎<attached: 00002360-PHOTO-2026-04-06-16-42-26.jpg>
‎[06/04/26, 4:42:36 PM] Bothra Sarees: ‎<attached: 00002361-PHOTO-2026-04-06-16-42-36.jpg>
‎[06/04/26, 4:42:59 PM] Bothra Sarees: ‎<attached: 00002362-PHOTO-2026-04-06-16-42-59.jpg>
[06/04/26, 4:43:02 PM] v anand salesman: 12srt
[06/04/26, 4:43:14 PM] v anand salesman: 8set
‎[06/04/26, 4:43:41 PM] Bothra Sarees: ‎<attached: 00002365-PHOTO-2026-04-06-16-43-41.jpg>
‎[06/04/26, 4:44:26 PM] Bothra Sarees: ‎<attached: 00002366-PHOTO-2026-04-06-16-44-26.jpg>
‎[06/04/26, 4:44:33 PM] Bothra Sarees: ‎<attached: 00002367-PHOTO-2026-04-06-16-44-33.jpg>
[06/04/26, 4:45:08 PM] Bothra Sarees: 468
[06/04/26, 4:45:11 PM] Bothra Sarees: 610
[06/04/26, 4:45:25 PM] v anand salesman: 12set
‎[06/04/26, 4:45:54 PM] Bothra Sarees: ‎<attached: 00002371-PHOTO-2026-04-06-16-45-54.jpg>
‎[06/04/26, 4:46:11 PM] Bothra Sarees: ‎<attached: 00002372-PHOTO-2026-04-06-16-46-11.jpg>
‎[06/04/26, 4:46:28 PM] Bothra Sarees: ‎<attached: 00002373-PHOTO-2026-04-06-16-46-28.jpg>
‎[06/04/26, 4:46:37 PM] Bothra Sarees: ‎<attached: 00002374-PHOTO-2026-04-06-16-46-37.jpg>
[06/04/26, 4:46:53 PM] Bothra Sarees: 368
‎[06/04/26, 4:47:51 PM] Bothra Sarees: 424 ‎<attached: 00002376-PHOTO-2026-04-06-16-47-51.jpg>
‎[06/04/26, 4:48:35 PM] Bothra Sarees: ‎<attached: 00002377-PHOTO-2026-04-06-16-48-35.jpg>
‎[06/04/26, 4:50:40 PM] Bothra Sarees: ‎<attached: 00002378-PHOTO-2026-04-06-16-50-40.jpg>
[06/04/26, 4:51:53 PM] Bothra Sarees: ye acha bik rh h
[06/04/26, 4:52:11 PM] Bothra Sarees: malvika ek parsal 
manali ek parsal
‎[06/04/26, 4:58:07 PM] Bothra Sarees: ‎<attached: 00002381-PHOTO-2026-04-06-16-58-07.jpg>
[06/04/26, 4:58:34 PM] Bothra Sarees: 987
[06/04/26, 4:58:42 PM] Bothra Sarees: 27 saree h
[06/04/26, 5:09:58 PM] Bothra Sarees: ???
‎[06/04/26, 5:14:53 PM] Bothra Sarees: ‎<attached: 00002385-PHOTO-2026-04-06-17-14-53.jpg>
[06/04/26, 5:14:53 PM] Bothra Sarees: samira
‎[06/04/26, 5:15:11 PM] Bothra Sarees: ‎<attached: 00002387-PHOTO-2026-04-06-17-15-11.jpg>
[06/04/26, 5:15:11 PM] Bothra Sarees: 336
‎[06/04/26, 5:15:31 PM] Bothra Sarees: ‎<attached: 00002389-PHOTO-2026-04-06-17-15-32.jpg>
[06/04/26, 5:15:32 PM] Bothra Sarees: 373 ‎<This message was edited>
‎[06/04/26, 5:15:49 PM] Bothra Sarees: ‎<attached: 00002391-PHOTO-2026-04-06-17-15-49.jpg>
[06/04/26, 5:15:49 PM] Bothra Sarees: 368
‎[06/04/26, 5:16:03 PM] Bothra Sarees: ‎<attached: 00002393-PHOTO-2026-04-06-17-16-03.jpg>
[06/04/26, 5:16:03 PM] Bothra Sarees: malvika
‎[06/04/26, 5:16:27 PM] Bothra Sarees: ‎<attached: 00002395-PHOTO-2026-04-06-17-16-27.jpg>
[06/04/26, 5:16:27 PM] Bothra Sarees: malvika
‎[06/04/26, 5:17:01 PM] Bothra Sarees: ‎<attached: 00002397-PHOTO-2026-04-06-17-17-01.jpg>
[06/04/26, 5:17:01 PM] Bothra Sarees: 388
‎[06/04/26, 5:17:28 PM] Bothra Sarees: ‎<attached: 00002399-PHOTO-2026-04-06-17-17-28.jpg>
[06/04/26, 5:17:28 PM] Bothra Sarees: 378
[06/04/26, 6:36:21 PM] v anand salesman: Ye
[06/04/26, 6:36:26 PM] v anand salesman: Ye
[06/04/26, 6:42:45 PM] Bothra Sarees: ek ek parsal krdo?
[06/04/26, 6:42:50 PM] v anand salesman: Ha
‎[06/04/26, 6:58:39 PM] Bothra Sarees: ‎<attached: 00002405-PHOTO-2026-04-06-18-58-39.jpg>
‎[06/04/26, 6:58:45 PM] Bothra Sarees: ‎<attached: 00002406-PHOTO-2026-04-06-18-58-45.jpg>
‎[06/04/26, 6:59:10 PM] Bothra Sarees: ‎<attached: 00002407-PHOTO-2026-04-06-18-59-10.jpg>
[06/04/26, 7:01:23 PM] Bothra Sarees: 405
[06/04/26, 7:01:43 PM] Bothra Sarees: isme se kch bhejna h
[06/04/26, 7:01:44 PM] Bothra Sarees: ?
‎[06/04/26, 7:02:25 PM] Bothra Sarees: ‎<attached: 00002411-PHOTO-2026-04-06-19-02-25.jpg>
‎[06/04/26, 7:11:30 PM] Bothra Sarees: ‎<attached: 00002412-PHOTO-2026-04-06-19-11-30.jpg>
[06/04/26, 7:12:03 PM] Bothra Sarees: 651
‎[06/04/26, 7:14:05 PM] Bothra Sarees: ‎<attached: 00002414-PHOTO-2026-04-06-19-14-05.jpg>
[06/04/26, 7:14:21 PM] Bothra Sarees: 630
[06/04/26, 7:15:32 PM] Bothra Sarees: ??
[06/04/26, 7:15:57 PM] v anand salesman: 10
‎[07/04/26, 3:57:22 PM] v anand salesman: 386 ‎<attached: 00002418-PHOTO-2026-04-07-15-57-23.jpg>
[07/04/26, 3:57:27 PM] v anand salesman: 12
[07/04/26, 3:58:14 PM] v anand salesman: 10 set
[07/04/26, 4:24:06 PM] Bothra Sarees: ye khtm hogya
‎[08/04/26, 12:09:02 PM] Bothra Sarees: ‎<attached: 00002422-PHOTO-2026-04-08-12-09-02.jpg>
‎[08/04/26, 12:09:14 PM] Bothra Sarees: ‎<attached: 00002423-PHOTO-2026-04-08-12-09-14.jpg>
‎[08/04/26, 12:09:28 PM] Bothra Sarees: ‎<attached: 00002424-PHOTO-2026-04-08-12-09-28.jpg>
‎[08/04/26, 12:09:56 PM] Bothra Sarees: ‎<attached: 00002425-PHOTO-2026-04-08-12-09-56.jpg>
‎[08/04/26, 12:10:06 PM] Bothra Sarees: ‎<attached: 00002426-PHOTO-2026-04-08-12-10-06.jpg>
