[12/04/25, 11:57:31 AM] v anand salesman: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[12/04/25, 11:57:31 AM] v anand salesman: ‎‎‎v anand salesman uses a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎90 days after they're sent, except when kept. ‎Tap to set your own default timer.
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001755-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001756-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001757-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001758-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001759-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001760-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001761-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001762-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001763-PHOTO-2026-02-25-00-38-20.jpg>
‎[25/02/26, 12:38:20 AM] Bothra Sarees: ‎<attached: 00001764-PHOTO-2026-02-25-00-38-20.jpg>
‎[26/02/26, 11:16:22 AM] Bothra Sarees: ‎<attached: 00001765-PHOTO-2026-02-26-11-16-22.jpg>
‎[26/02/26, 11:16:22 AM] Bothra Sarees: ‎<attached: 00001766-PHOTO-2026-02-26-11-16-22.jpg>
‎[26/02/26, 11:16:22 AM] Bothra Sarees: ‎<attached: 00001767-PHOTO-2026-02-26-11-16-22.jpg>
‎[26/02/26, 11:16:22 AM] Bothra Sarees: ‎<attached: 00001768-PHOTO-2026-02-26-11-16-22.jpg>
‎[26/02/26, 11:16:22 AM] Bothra Sarees: ‎<attached: 00001769-PHOTO-2026-02-26-11-16-22.jpg>
‎[26/02/26, 11:16:22 AM] Bothra Sarees: ‎<attached: 00001770-PHOTO-2026-02-26-11-16-22.jpg>
‎[27/02/26, 5:48:23 PM] Bothra Sarees: ‎<attached: 00001771-PHOTO-2026-02-27-17-48-23.jpg>
[27/02/26, 5:49:12 PM] v anand salesman: Ok
‎[28/02/26, 10:46:14 AM] Bothra Sarees: ‎<attached: 00001773-PHOTO-2026-02-28-10-46-14.jpg>
‎[28/02/26, 10:46:14 AM] Bothra Sarees: ‎<attached: 00001774-PHOTO-2026-02-28-10-46-14.jpg>
‎[28/02/26, 10:46:14 AM] Bothra Sarees: ‎<attached: 00001775-PHOTO-2026-02-28-10-46-14.jpg>
‎[28/02/26, 10:46:14 AM] Bothra Sarees: ‎<attached: 00001776-PHOTO-2026-02-28-10-46-14.jpg>
‎[28/02/26, 10:46:14 AM] Bothra Sarees: ‎<attached: 00001777-PHOTO-2026-02-28-10-46-14.jpg>
‎[28/02/26, 10:46:14 AM] Bothra Sarees: ‎<attached: 00001778-PHOTO-2026-02-28-10-46-14.jpg>
‎[06/03/26, 11:33:13 AM] Bothra Sarees: ‎<attached: 00001779-PHOTO-2026-03-06-11-33-13.jpg>
‎[06/03/26, 11:35:39 AM] Bothra Sarees: 650 ‎<attached: 00001780-PHOTO-2026-03-06-11-35-39.jpg>
‎[06/03/26, 11:35:39 AM] Bothra Sarees: 700 ‎<attached: 00001781-PHOTO-2026-03-06-11-35-39.jpg>
‎[06/03/26, 11:35:39 AM] Bothra Sarees: 450 ‎<attached: 00001782-PHOTO-2026-03-06-11-35-39.jpg>
[06/03/26, 11:35:55 AM] Bothra Sarees: 610
[06/03/26, 11:36:03 AM] Bothra Sarees: 660
[06/03/26, 11:36:06 AM] Bothra Sarees: 415
[06/03/26, 11:36:12 AM] Bothra Sarees: ye with blouse jaipur ke h
[06/03/26, 11:36:18 AM] v anand salesman: Ok
[06/03/26, 11:36:25 AM] v anand salesman: Surat wale bhi dal do
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001789-PHOTO-2026-03-06-11-36-33.jpg>
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001790-PHOTO-2026-03-06-11-36-33.jpg>
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001791-PHOTO-2026-03-06-11-36-33.jpg>
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001792-PHOTO-2026-03-06-11-36-33.jpg>
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001793-PHOTO-2026-03-06-11-36-33.jpg>
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001794-PHOTO-2026-03-06-11-36-33.jpg>
‎[06/03/26, 11:36:33 AM] Bothra Sarees: ‎<attached: 00001795-PHOTO-2026-03-06-11-36-33.jpg>
[06/03/26, 11:37:02 AM] Bothra Sarees: 400-405 ka avg h
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001797-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001798-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001799-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001800-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001801-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001802-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001803-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001804-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 11:44:52 AM] Bothra Sarees: ‎<attached: 00001805-PHOTO-2026-03-06-11-44-52.jpg>
‎[06/03/26, 12:15:15 PM] Bothra Sarees: ‎<attached: 00001806-PHOTO-2026-03-06-12-15-15.jpg>
‎[06/03/26, 12:15:15 PM] Bothra Sarees: ‎<attached: 00001807-PHOTO-2026-03-06-12-15-15.jpg>
[06/03/26, 12:15:16 PM] Bothra Sarees: 590
‎[06/03/26, 12:16:08 PM] Bothra Sarees: ‎<attached: 00001809-PHOTO-2026-03-06-12-16-08.jpg>
‎[06/03/26, 12:16:08 PM] Bothra Sarees: ‎<attached: 00001810-PHOTO-2026-03-06-12-16-08.jpg>
‎[06/03/26, 12:16:08 PM] Bothra Sarees: ‎<attached: 00001811-PHOTO-2026-03-06-12-16-08.jpg>
‎[06/03/26, 12:16:08 PM] Bothra Sarees: ‎<attached: 00001812-PHOTO-2026-03-06-12-16-08.jpg>
‎[06/03/26, 12:16:08 PM] Bothra Sarees: ‎<attached: 00001813-PHOTO-2026-03-06-12-16-08.jpg>
‎[06/03/26, 12:16:08 PM] Bothra Sarees: ‎<attached: 00001814-PHOTO-2026-03-06-12-16-08.jpg>
‎[06/03/26, 12:16:23 PM] Bothra Sarees: ‎<attached: 00001815-PHOTO-2026-03-06-12-16-23.jpg>
‎[06/03/26, 12:16:23 PM] Bothra Sarees: ‎<attached: 00001816-PHOTO-2026-03-06-12-16-23.jpg>
‎[06/03/26, 12:25:07 PM] Bothra Sarees: ‎<attached: 00001817-PHOTO-2026-03-06-12-25-07.jpg>
‎[06/03/26, 12:25:07 PM] Bothra Sarees: ‎<attached: 00001818-PHOTO-2026-03-06-12-25-07.jpg>
‎[06/03/26, 12:25:07 PM] Bothra Sarees: ‎<attached: 00001819-PHOTO-2026-03-06-12-25-07.jpg>
‎[06/03/26, 12:26:28 PM] Bothra Sarees: ‎<attached: 00001820-PHOTO-2026-03-06-12-26-28.jpg>
[06/03/26, 12:30:14 PM] Bothra Sarees: ...
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001822-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001823-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001824-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001825-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001826-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001827-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001828-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001829-PHOTO-2026-03-06-12-30-50.jpg>
‎[06/03/26, 12:30:50 PM] Bothra Sarees: ‎<attached: 00001830-PHOTO-2026-03-06-12-30-50.jpg>
[06/03/26, 12:30:50 PM] Bothra Sarees: kohinoor 
‎[06/03/26, 12:46:39 PM] Bothra Sarees: ‎<attached: 00001832-PHOTO-2026-03-06-12-46-39.jpg>
[06/03/26, 11:21:54 PM] Bothra Sarees: hiiii
[06/03/26, 11:51:23 PM] v anand salesman: 12 set
[06/03/26, 11:51:42 PM] v anand salesman: 12set
[07/03/26, 12:13:03 AM] Bothra Sarees: jaipur vala
[07/03/26, 12:13:07 AM] Bothra Sarees: taste likhao sir
[07/03/26, 12:14:55 AM] Bothra Sarees: ganapti ragunandan me item bhout ache aarhe h
[07/03/26, 12:15:10 AM] v anand salesman: Ok me wahi ata hu
[07/03/26, 12:15:16 AM] Bothra Sarees: ok sir
[07/03/26, 12:15:24 AM] Bothra Sarees: kab padhar rahe
[07/03/26, 12:15:40 AM] v anand salesman: Ise week me a gayenge
[07/03/26, 12:23:27 AM] Bothra Sarees: ok sir
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001844-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001845-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001846-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001847-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001848-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001849-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001850-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001851-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001852-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001853-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001854-PHOTO-2026-03-20-09-03-26.jpg>
‎[20/03/26, 9:03:26 AM] Bothra Sarees: ‎<attached: 00001855-PHOTO-2026-03-20-09-03-26.jpg>
[20/03/26, 9:25:41 AM] v anand salesman: Ye
[20/03/26, 9:25:45 AM] v anand salesman: Ye
[20/03/26, 9:26:08 AM] v anand salesman: 8set
[20/03/26, 9:27:03 AM] v anand salesman: 8set
[20/03/26, 9:27:15 AM] v anand salesman: 2parcel kar dena
[20/03/26, 9:27:26 AM] Bothra Sarees: ok sir
[20/03/26, 9:27:30 AM] v anand salesman: 1parcel Radha light
[20/03/26, 9:27:35 AM] Bothra Sarees: okay
‎[20/03/26, 8:29:30 PM] Bothra Sarees: ‎<attached: 00001864-PHOTO-2026-03-20-20-29-30.jpg>
[20/03/26, 8:29:30 PM] Bothra Sarees: 825
[20/03/26, 8:48:37 PM] Bothra Sarees: bhejna h
[20/03/26, 9:17:00 PM] v anand salesman: Abhi mall a jaye
[20/03/26, 9:17:12 PM] v anand salesman: Fir dekhta hu kya kya aya
[20/03/26, 9:17:25 PM] Bothra Sarees: ok sir
[20/03/26, 9:17:36 PM] Bothra Sarees: dhyan dena bhaiya
[20/03/26, 9:17:45 PM] v anand salesman: Pura dhayan denge
[20/03/26, 9:17:57 PM] Bothra Sarees: sab item yaha se set hojynge aap th bta dena kya chahiye
[20/03/26, 9:18:04 PM] v anand salesman: Ok
[20/03/26, 9:18:33 PM] v anand salesman: Mujhe khud a jaunga April ke start me
‎[20/03/26, 9:18:37 PM] Bothra Sarees: ‎<attached: 00001875-PHOTO-2026-03-20-21-18-37.jpg>
‎[20/03/26, 9:18:37 PM] Bothra Sarees: ‎<attached: 00001876-PHOTO-2026-03-20-21-18-37.jpg>
[20/03/26, 9:18:45 PM] Bothra Sarees: 360
[20/03/26, 9:19:29 PM] v anand salesman: Aaj hi aaya ye wala mall dusri party ka
[20/03/26, 9:21:10 PM] Bothra Sarees: kya rate me liya
[20/03/26, 9:21:26 PM] v anand salesman: Mahak wala ka aya hai
[20/03/26, 9:21:33 PM] v anand salesman: 350
[20/03/26, 9:21:46 PM] Bothra Sarees: 350 plus gst h
[20/03/26, 9:21:55 PM] Bothra Sarees: ?
[20/03/26, 9:21:58 PM] v anand salesman: Ha Bina Oder ke pucha dete hai
[20/03/26, 9:22:06 PM] Bothra Sarees: mera with gst 360 h
[20/03/26, 9:22:12 PM] v anand salesman: Ha pta hai
[20/03/26, 9:22:40 PM] Bothra Sarees: aapko 357 hi jayga aapko
[20/03/26, 9:22:54 PM] v anand salesman: Ok bata dunga
